created_at,text,url,replies,retweets,favorites,user,bioguide_id,party,state
9/27/17 20:19,"Committed to work on fiscally-responsible #taxreform to boost competition &amp; paychecks, but GOP plan doesn't come cl‰Û_ https://t.co/yiZGwpH0sy",https://twitter.com/SenBennetCO/status/913136114927636481,36,53,168,SenBennetCO,B001267,D,CO
9/27/17 17:32,RT @CAPdemocracy: Sen. Bennet at CAP: the problem is a corruption not of action but of inaction https://t.co/avFMTVKtqw,https://twitter.com/SenBennetCO/status/913094027905466369,1,5,8,SenBennetCO,B001267,D,CO
9/27/17 12:59,Tens of thousands of #Dreamers were affected by massive hurricanes. Least we can do is extend #DACA renewal deadline https://t.co/71uoRhsZvm,https://twitter.com/SenBennetCO/status/913025200442265600,17,66,187,SenBennetCO,B001267,D,CO
9/26/17 23:19,NEWS: #CHRONICCare Act just unanimously passed Senate. Modernizing Medicare will reduce costs &amp; strain on families: https://t.co/0VnzWQDsks,https://twitter.com/SenBennetCO/status/912818818912854016,8,33,88,SenBennetCO,B001267,D,CO
9/26/17 22:52,TOMORROW: Speaking at @amprog at 1pm ET about range of incentives that distort Congress &amp; feed dysfunction. Details‰Û_ https://t.co/f3NW6gDYCB,https://twitter.com/SenBennetCO/status/912812244219637760,1,10,17,SenBennetCO,B001267,D,CO
9/26/17 22:20,"Good to hear from @SecretarySonny about immediate need to end penny wise, pound foolish practice of fire borrowing:‰Û_ https://t.co/C2EZQujHFr",https://twitter.com/SenBennetCO/status/912804170729709573,0,7,14,SenBennetCO,B001267,D,CO
9/26/17 21:40,Speaking LIVE now on the Senate floor about what comes next for #healthcare reform: https://t.co/syxVjyZiu3,https://twitter.com/SenBennetCO/status/912794094258262016,3,7,25,SenBennetCO,B001267,D,CO
9/26/17 21:21,Why I've urged @POTUS to disband Voter Commission that spews voter fraud conspiracies &amp; stifles voter participation. https://t.co/4NXMMDok1Z,https://twitter.com/SenBennetCO/status/912789320259571713,28,73,275,SenBennetCO,B001267,D,CO
9/26/17 21:20,#NationalVoterRegistrationDay is a great reminder that ALL Americans should have access to ballot &amp; trust that their information is secure.,https://twitter.com/SenBennetCO/status/912789014075379712,12,37,98,SenBennetCO,B001267,D,CO
9/26/17 20:50,It's #NationalVoterRegistrationDay. Make your voices heard in our democracy. Take 2 minutes &amp; register to vote.‰Û_ https://t.co/AIbCvakV0E,https://twitter.com/SenBennetCO/status/912781557227823104,2,40,44,SenBennetCO,B001267,D,CO
9/26/17 19:17,A testament to those who showed up &amp; spoke out. But our work is far from over‰ÛÓtime to return to bipartisan process‰Û_ https://t.co/s2IP9dlwMM,https://twitter.com/SenBennetCO/status/912757984371122177,31,63,380,SenBennetCO,B001267,D,CO
9/26/17 19:02,Tune in to watch @USDA @forestservice briefing on fixing #wildfire funding. More on our legislation here:‰Û_ https://t.co/ELt4I5hX6U,https://twitter.com/SenBennetCO/status/912754190899871746,0,19,37,SenBennetCO,B001267,D,CO
9/26/17 17:22,#MenForChoice day is a reminder that health care is personal &amp; women should be empowered to make their own choices‰Û_ https://t.co/ta6tHyB3Zj,https://twitter.com/SenBennetCO/status/912729050220769282,15,105,387,SenBennetCO,B001267,D,CO
9/26/17 16:19,"ICY(somehow)MI: #GrahamCassidy would harm millions. Period.https://t.co/JPBUFGlGRx",https://twitter.com/SenBennetCO/status/912713246267838465,23,59,182,SenBennetCO,B001267,D,CO
9/26/17 15:49,"In Colorado, we #ValueCHCs because they are critical to our state. Will continue to push for funding extension:‰Û_ https://t.co/coYRYG1a9c",https://twitter.com/SenBennetCO/status/912705722248556544,3,17,42,SenBennetCO,B001267,D,CO
9/26/17 15:23,Our fellow Americans in PR &amp; Virgin Islands face devastation from #HurricaneMaria. Congress must step up &amp; provide resources for recovery.,https://twitter.com/SenBennetCO/status/912699244481523712,17,71,236,SenBennetCO,B001267,D,CO
9/26/17 1:00,Under #GrahamCassidy instability would dramatically increase over next 2 yrs bc every state must create new health‰Û_ https://t.co/apegvRX8Yl,https://twitter.com/SenBennetCO/status/912482085633351681,14,129,234,SenBennetCO,B001267,D,CO
9/26/17 0:16,#GrahamCassidy would throw ppl off Medicaid w/ no suggestion for how they'll be covered. @SenateGOP: Why are we her‰Û_ https://t.co/y2zMJXNOex,https://twitter.com/SenBennetCO/status/912470998544461824,45,148,433,SenBennetCO,B001267,D,CO
